"Name","DistinguishedName"
"Administrators","CN=Administrators,CN=Builtin,DC=silden,DC=local"
"Users","CN=Users,CN=Builtin,DC=silden,DC=local"
"Guests","CN=Guests,CN=Builtin,DC=silden,DC=local"
"Print Operators","CN=Print Operators,CN=Builtin,DC=silden,DC=local"
"Backup Operators","CN=Backup Operators,CN=Builtin,DC=silden,DC=local"
"Replicator","CN=Replicator,CN=Builtin,DC=silden,DC=local"
"Remote Desktop Users","CN=Remote Desktop Users,CN=Builtin,DC=silden,DC=local"
"Network Configuration Operators","CN=Network Configuration Operators,CN=Builtin,DC=silden,DC=local"
"Performance Monitor Users","CN=Performance Monitor Users,CN=Builtin,DC=silden,DC=local"
"Performance Log Users","CN=Performance Log Users,CN=Builtin,DC=silden,DC=local"
"Distributed COM Users","CN=Distributed COM Users,CN=Builtin,DC=silden,DC=local"
"IIS_IUSRS","CN=IIS_IUSRS,CN=Builtin,DC=silden,DC=local"
"Cryptographic Operators","CN=Cryptographic Operators,CN=Builtin,DC=silden,DC=local"
"Event Log Readers","CN=Event Log Readers,CN=Builtin,DC=silden,DC=local"
"Certificate Service DCOM Access","CN=Certificate Service DCOM Access,CN=Builtin,DC=silden,DC=local"
"RDS Remote Access Servers","CN=RDS Remote Access Servers,CN=Builtin,DC=silden,DC=local"
"RDS Endpoint Servers","CN=RDS Endpoint Servers,CN=Builtin,DC=silden,DC=local"
"RDS Management Servers","CN=RDS Management Servers,CN=Builtin,DC=silden,DC=local"
"Hyper-V Administrators","CN=Hyper-V Administrators,CN=Builtin,DC=silden,DC=local"
"Access Control Assistance Operators","CN=Access Control Assistance Operators,CN=Builtin,DC=silden,DC=local"
"Remote Management Users","CN=Remote Management Users,CN=Builtin,DC=silden,DC=local"
"Storage Replica Administrators","CN=Storage Replica Administrators,CN=Builtin,DC=silden,DC=local"
"Domain Computers","CN=Domain Computers,CN=Users,DC=silden,DC=local"
"Domain Controllers","CN=Domain Controllers,CN=Users,DC=silden,DC=local"
"Schema Admins","CN=Schema Admins,CN=Users,DC=silden,DC=local"
"Enterprise Admins","CN=Enterprise Admins,CN=Users,DC=silden,DC=local"
"Cert Publishers","CN=Cert Publishers,CN=Users,DC=silden,DC=local"
"Domain Admins","CN=Domain Admins,CN=Users,DC=silden,DC=local"
"Domain Users","CN=Domain Users,CN=Users,DC=silden,DC=local"
"Domain Guests","CN=Domain Guests,CN=Users,DC=silden,DC=local"
"Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=silden,DC=local"
"RAS and IAS Servers","CN=RAS and IAS Servers,CN=Users,DC=silden,DC=local"
"Server Operators","CN=Server Operators,CN=Builtin,DC=silden,DC=local"
"Account Operators","CN=Account Operators,CN=Builtin,DC=silden,DC=local"
"Pre-Windows 2000 Compatible Access","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=silden,DC=local"
"Incoming Forest Trust Builders","CN=Incoming Forest Trust Builders,CN=Builtin,DC=silden,DC=local"
"Windows Authorization Access Group","CN=Windows Authorization Access Group,CN=Builtin,DC=silden,DC=local"
"Terminal Server License Servers","CN=Terminal Server License Servers,CN=Builtin,DC=silden,DC=local"
"Allowed RODC Password Replication Group","CN=Allowed RODC Password Replication Group,CN=Users,DC=silden,DC=local"
"Denied RODC Password Replication Group","CN=Denied RODC Password Replication Group,CN=Users,DC=silden,DC=local"
"Read-only Domain Controllers","CN=Read-only Domain Controllers,CN=Users,DC=silden,DC=local"
"Enterprise Read-only Domain Controllers","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=silden,DC=local"
"Cloneable Domain Controllers","CN=Cloneable Domain Controllers,CN=Users,DC=silden,DC=local"
"Protected Users","CN=Protected Users,CN=Users,DC=silden,DC=local"
"Key Admins","CN=Key Admins,CN=Users,DC=silden,DC=local"
"Enterprise Key Admins","CN=Enterprise Key Admins,CN=Users,DC=silden,DC=local"
"DnsAdmins","CN=DnsAdmins,CN=Users,DC=silden,DC=local"
"DnsUpdateProxy","CN=DnsUpdateProxy,CN=Users,DC=silden,DC=local"
"XMLTest","CN=XMLTest,OU=Admins,OU=silden.local,DC=silden,DC=local"
